,,,,,
"Source:  USCIS, as of June 30, 2017. Notes: All data are based on approved petitions during the fiscal year. Per USCIS best practices, units of less than 10 are aggregated so as to limit the possibility of the de-anonymization of data.  “D” represents data withheld to protect privacy. Total number of beneficiaries includes initial, renewal, cap-subject, and cap-exempt petitions. While some company names may appear multiple times, USCIS does not combine companies even where the names are the same because in all cases the employer tax identification numbers are different. Missing Education means the education field is not captured by the USCIS electronic data storage system. Average salary includes both full-time and part-time employment.  In lieu of the required degree a beneficiary may qualify based on a combination of education, training, and/or progressively responsible experience in the specialty that is equivalent to the completion of such a degree, and recognition of expertise in the specialty through progressively responsible positions directly related to the specialty.",,,,,
Employer Information,,Petition Information by Employer,,,
,  ,,   ,Master's,D
9207, FIT ELECTRONICS INC ,D," 83,658 ",Bachelor's,D
,  ,,   ,Doctorate,D
,  ,,   ,Master's,D
9589, ZIFF DAVIS LLC ,D," 103,693 ",Bachelor's,D
,  ,,   ,Master's,D
3122, RECORDED BOOKS INC ,D," 108,487 ",Bachelor's,D
,  ,,   ,Master's,D
0392, SIGMOD INC ,D," 120,427 ",Master's,D
4918, FOTAVO INC ,D," 71,615 ",Doctorate,D
,  ,,   ,Master's,D
4353, GRAPHENE INC ,D," 96,333 ",Bachelor's,D
,  ,,   ,Master's,D
6601, 3R INFO LLC ,D," 69,067 ",Bachelor's,D
,  ,,   ,Master's,D
8262, CLOUD9 TECHNOLOGIES LLC ,D," 140,000 ",Master's,D
5228, YI ZHAO GROUP USA LLC ,D," 62,680 ",Master's,D
6839, ENGRADE LLC ,D," 96,773 ",Bachelor's,D
,  ,,   ,Master's,D
0219, PROSPECT CHARTERCARE PHYSICIANS L ,D," 193,333 ",Professional Degree,D
6717, RB MANUFACTURING LLC ,D," 88,633 ",Bachelor's,D
,  ,,   ,Master's,D
9900, IT FACE INC ,D," 69,667 ",Master's,D
6342, FARMER S BUSINESS NETWORK INC ,D," 93,833 ",Master's,D
1012, FORECAST MANAGEMENT SOLUTIONS INC ,D," 64,145 ",Bachelor's,D
,  ,,   ,Master's,D
4866, MSA WORLDWIDE LLC ,D," 100,671 ",Bachelor's,D
,  ,,   ,Master's,D
0154, ACTIVE NETWORK LLC ,D," 105,678 ",Bachelor's,D
,  ,,   ,Master's,D
5399, OPENDOOR LABS INC ,D," 138,333 ",Bachelor's,D
,  ,,   ,Doctorate,D
,  ,,   ,Master's,D
1874, RH TECHNOLOGY INC ,D," 70,000 ",Master's,D
6539, PROPHECY CONSULTING INC ,D," 70,000 ",Bachelor's,D
,  ,,   ,Master's,D
8234, KARWELL TECHNOLOGIES INC ,D," 63,333 ",Bachelor's,D
,  ,,   ,Master's,D
1372, GEO LOGIC SYSTEMS CORP ,D," 60,000 ",Master's,D
6544, VLOCITY INC ,D," 123,333 ",Bachelor's,D
,  ,,   ,Master's,D
3780, CYNOSURE INC ,D," 116,667 ",Bachelor's,D
,  ,,   ,Master's,D
6862, AZURE CONSULTING SERVICES ,D," 63,870 ",Bachelor's,D
,  ,,   ,Master's,D
3376, CHECKR INC ,D," 133,333 ",Bachelor's,D
,  ,,   ,Master's,D
4349, APSTRA INC ,D," 145,000 ",Master's,D
1834, DATOS IO INC ,D," 158,333 ",Doctorate,D
,  ,,   ,Master's,D
4099, SUNCULTURE SOLAR INC ,D," 131,114 ",Bachelor's,D
,  ,,   ,Master's,D
4747, SKYDIO INC ,D," 121,667 ",Bachelor's,D
,  ,,   ,Master's,D
8678, HEART & VASCULAR SPCS OF OKLAHOMA ,D," 121,375 ",Professional Degree,D
9829, TECHOLUTION LLC ,D," 79,354 ",Bachelor's,D
,  ,,   ,Master's,D
4300, I-CUBED HOLDING INC DBA ICIDIGITA ,D," 98,000 ",Bachelor's,D
,  ,,   ,Master's,D
5765, CLARCOR ENGINE MOBILE SOLNS LLC ,D," 76,875 ",Master's,D
7073, KIDNEY CARE CENTER OLYMPIA FIELDS ,D," 183,333 ",Professional Degree,D
0947, CALIFORNIA RESOURCES CORP ,D," 128,033 ",Bachelor's,D
,  ,,   ,Master's,D
4843, TAOLA INC ,D," 52,177 ",Bachelor's,D
,  ,,   ,Master's,D
3452, HDR ARCHITECTURE INC ,D," 58,720 ",Master's,D
8779, THE MARY LANNING MEMORIAL HOSP AS ,D," 113,078 ",Bachelor's,D
,  ,,   ,Professional Degree,D
7317, MORRILL COUNTY COMMUNITY HOSPITAL ,D," 93,565 ",Bachelor's,D
,  ,,   ,Master's,D
,  ,,   ,Professional Degree,D
8718, TRI CON INDUSTRIES LTD ,D," 58,668 ",Master's,D
6632, HENNINGSON DURHAM & RICHARDSON P ,D," 72,932 ",Master's,D
9176, THE SCOULAR CO ,D," 106,167 ",Bachelor's,D
7804, INEIGHT INC ,D," 92,940 ",Bachelor's,D
,  ,,   ,Master's,D
3756, HDR INC ,D," 97,379 ",Bachelor's,D
,  ,,   ,Master's,D
1173, TECHNOLOGY HOLDING LLC ,D," 60,768 ",Master's,D
5398, HOME & HOME CORP ,D," 37,032 ",Bachelor's,D
9457, SPIRIT PHARMACEUTICALS LLC ,D," 59,000 ",Bachelor's,D
,  ,,   ,Master's,D
7661, ARCHITEKTURKONZEPTION DPC ,D," 51,333 ",Bachelor's,D
,  ,,   ,Master's,D
6380, EXCEPTIONAL RESOURCES INC ,D," 66,667 ",Bachelor's,D
,  ,,   ,Master's,D
7596, OMEGA Z LLC ,D," 74,187 ",Bachelor's,D
,  ,,   ,Master's,D
1044, TP LINK RESEARCH AMERICA CORP ,D," 109,628 ",Bachelor's,D
,  ,,   ,Master's,D
7028, FMD K L INC ,D," 71,000 ",Master's,D
2372, MITAJA CORPORATION ,D," 79,837 ",Bachelor's,D
,  ,,   ,Master's,D
1821, CHARUS INC ,D," 40,010 ",Bachelor's,D
,  ,,   ,Master's,D
0766, MOONRAFT INNOVATION LABS INC ,D," 80,000 ",Bachelor's,D
,  ,,   ,Master's,D
3625, TROVE PREDICTIVE DATA SCIENCE LLC ,D," 94,000 ",Bachelor's,D
,  ,,   ,Master's,D
8054, MOBCRUSH INC ,D," 151,000 ",Bachelor's,D
,  ,,   ,Master's,D
5420, SYSTEMS ANALYSTS INC ,D," 104,000 ",Bachelor's,D
,  ,,   ,Master's,D
2687, GLORIAN INC ,D," 64,000 ",Bachelor's,D
,  ,,   ,Master's,D
8006, BLI INTL INC DBA ALLEGIANT HEALTH ,D," 49,433 ",Master's,D
0914, EFFECTUS GRP LLC ,D," 98,667 ",Bachelor's,D
,  ,,   ,Master's,D
8734, DESIMONE CONSULTING ENGRG GR LLC ,D," 77,000 ",Master's,D
4802, BRILENT INC ,D," 84,071 ",Master's,D
2288, DIGITAL ASSET HOLDINGS LLC ,D," 153,333 ",Bachelor's,D
,  ,,   ,Master's,D
5095, CHRONOS GLOBAL CONSULTING INC ,D," 77,348 ",Master's,D
9692, LEVEL LABS L P D/B/A UNSHACKLED ,D," 74,833 ",Master's,D
3117, KEEVAT LLC ,D," 70,630 ",Bachelor's,D
,  ,,   ,Master's,D
7187, AFFICIENT ACADEMY INC ,D," 102,233 ",Master's,D
5195, BOOSTINSIDER INC ,D," 39,815 ",Master's,D
3227, SOFTWARE BOTS INC ,D," 62,440 ",Bachelor's,D
,  ,,   ,Master's,D
0812, IT HOPPERS INC ,D," 75,000 ",Bachelor's,D
,  ,,   ,Master's,D
2955, EDUCATION MANAGEMENT SOLUTIONS LL ,D," 83,122 ",Bachelor's,D
,  ,,   ,Master's,D
0479, RETETECH LLC ,D," 86,667 ",Master's,D
2600, LUMA HOME INC ,D," 109,333 ",Master's,D
7577, XCEEDANCE INC ,D," 86,333 ",Bachelor's,D
,  ,,   ,Master's,D
2554, LACEWORK INC ,D," 145,000 ",Bachelor's,D
,  ,,   ,Doctorate,D
,  ,,   ,Master's,D
4450, MOVILITAS CONSULTING LLC ,D," 95,000 ",Bachelor's,D
9664, SCALEFLUX INC ,D," 120,667 ",Doctorate,D
,  ,,   ,Master's,D
1080, ALTIUS INST FOR BIOMEDICAL SCIENC ,D," 114,917 ",Doctorate,D
,  ,,   ,Master's,D
5364, GEM REHAB OT PT SLP PLLC ,D," 75,040 ",Master's,D
,  ,,   ,Professional Degree,D
3426, DISCOVER TECHNOLOGIES INC ,D," 63,333 ",Master's,D
0646, NORTH CAROLINA TOBACCO MANUFACTUR ,D," 57,163 ",Bachelor's,D
2689, G&W PA LABORATORIES LLC ,D," 81,500 ",Master's,D
4161, KYJ LLP ,D," 19,963 ",Bachelor's,D
4474, GOOD METHODS GLOBAL INC ,D," 62,000 ",Bachelor's,D
,  ,,   ,Master's,D
5985, SPIN ANALYTICS & STRATEGY LLC ,D," 118,450 ",Bachelor's,D
,  ,,   ,Master's,D
7275, IIT WORK FORCE LLC ,D," 69,333 ",Bachelor's,D
,  ,,   ,Master's,D
0600, RALIS SVCS CORP ,D," 89,000 ",Bachelor's,D
,  ,,   ,Master's,D
3085, RIDE GROUP INC ,D," 83,367 ",Bachelor's,D
5931, ACRONIS MANAGEMENT LLC ,D," 69,000 ",Master's,D
7919, ELLIANSE LLC ,D," 62,667 ",Master's,D
7583, HUAMI INC ,D," 148,333 ",Doctorate,D
,  ,,   ,Master's,D
5409, COSMOS PHARMA TECHNLOGIES LLC ,D," 62,000 ",Master's,D
7810, MINDLEASE INC ,D," 69,004 ",Master's,D
3149, ASTUTEONE CORP ,D," 66,061 ",Bachelor's,D
,  ,,   ,Master's,D
1057, GLAXOSMITHKLINE CONSUMER HEALTHCA ,D," 139,697 ",Bachelor's,D
,  ,,   ,Master's,D
5145, PURVIEW INFOTECH LLC ,D," 71,667 ",Bachelor's,D
,  ,,   ,Master's,D
8127, STREETSCAN INC ,D," 70,000 ",Doctorate,D
,  ,,   ,Master's,D
9242, COREVANCE INC ,D," 67,144 ",Bachelor's,D
,  ,,   ,Master's,D
5887, VSB TECH CONSULTING SERVICES LLC ,D," 71,500 ",Master's,D
2789, NAUTO INC ,D," 115,717 ",Master's,D
8764, VERB SURGICAL INC ,D," 131,332 ",Master's,D
0866, TEKHQS INC ,D," 81,667 ",Bachelor's,D
,  ,,   ,Master's,D
5506, YELLOWBRICK DATA INC ,D," 157,672 ",Master's,D
4683, TOWN SQUARE TRADING LLC ,D," 110,000 ",Bachelor's,D
,  ,,   ,Master's,D
5691, EOCELL INC ,D," 123,333 ",Master's,D
0813, SKILLFUL TECHNOLOGIES CORPORATION ,D," 70,000 ",Bachelor's,D
,  ,,   ,Master's,D
3981, LATTICE DATA INC ,D," 130,000 ",Master's,D
7267, IDD USA LLC ,D," 82,067 ",Bachelor's,D
,  ,,   ,Master's,D
9777, ELICC AMERICAS CORP ,D," 81,383 ",Bachelor's,D
2296, REVERE LIFE SCIENCES LLC ,D," 66,560 ",Master's,D
7925, SPRINGML INC ,D," 90,667 ",Master's,D
2782, SNAPFISH LLC ,D," 119,004 ",Master's,D
5599, TANK EXCHANGE INC ,D," 99,667 ",Bachelor's,D
,  ,,   ,Master's,D
1466, ZINOVIA & CO LLC DBA HOME TOWN PH ,D," 111,675 ",Bachelor's,D
7445, US ELOGISTICS SERVICE CORP ,D," 29,391 ",Bachelor's,D
,  ,,   ,Master's,D
1632, DREMIO CORP ,D," 158,333 ",Bachelor's,D
,  ,,   ,Master's,D
8859, SIARAA TECHNOLOGIES INC ,D," 91,167 ",Bachelor's,D
,  ,,   ,Master's,D
0652, AMERITEK GLOBAL INC ,D," 68,583 ",Master's,D
0258, FOG TO CLOUD TECHNOLOGIES INC ,D," 65,000 ",Master's,D
5488, OMNISKOPE INC ,D," 56,410 ",Master's,D
3177, SNAPROUTE INC ,D," 130,844 ",Master's,D
2145, COCO SOFT INC ,D," 60,865 ",Bachelor's,D
,  ,,   ,Master's,D
6717, KINIKSA PHARMACEUTICAL CORP ,D," 135,000 ",Doctorate,D
5095, GCL NEW ENERGY INC ,D," 94,200 ",Bachelor's,D
,  ,,   ,Master's,D
9852, ASAM LLP ,D," 57,303 ",Bachelor's,D
,  ,,   ,Master's,D
4911, GRID MARKET RESEARCH INC ,D," 107,500 ",Master's,D
3399, CDATASYSTEMS INC ,D," 70,000 ",Bachelor's,D
,  ,,   ,Master's,D
1778, APOGEE MEDICAL GROUP KANSAS PA ,D," 285,000 ",Professional Degree,D
8059, VETSTREET LLC ,D," 110,724 ",Bachelor's,D
,  ,,   ,Master's,D
6447, TRANSCENDENT SOLUTIONS INC ,D," 95,667 ",Bachelor's,D
,  ,,   ,Master's,D
7643, HELIOCAMPUS LLC ,D," 135,167 ",Bachelor's,D
,  ,,   ,Master's,D
1037, GRAB TECH CORP ,D," 146,667 ",Bachelor's,D
,  ,,   ,Master's,D
7516, TAKT INC ,D," 155,000 ",Master's,D
8581, BLACK & VEATCH MANAGEMENT CONSULT ,D," 91,957 ",Bachelor's,D
,  ,,   ,Master's,D
5757, TICKETFLY LLC ,D," 184,000 ",Bachelor's,D
1398, MERGEN IT LLC ,D," 67,351 ",Bachelor's,D
,  ,,   ,Master's,D
7964, LOGIXHUB LLC ,D," 65,140 ",Master's,D
7752, UNIFIED SCHOOL DISTRICT 480 ,D," 47,077 ",Master's,D
2491, EXPERTS INC ,D," 80,849 ",Master's,D
1017, 3VR SECURITY INC ,D," 120,757 ",Master's,D
3217, HONDA RESEARCH INST USA INC ,D," 129,800 ",Doctorate,D
5089, WILLIAM NEWTON HOSP ,D," 45,177 ",Bachelor's,D
5784, NEOSHO MEMORIAL REFIONAL MED CTR ,D," 49,289 ",Bachelor's,D
,  ,,   ,Master's,D
4318, BAYHEALTH MEDICAL CENTER ,D," 236,102 ",Professional Degree,D
3365, W L GORE & ASSOCIATES INC ,D," 94,180 ",Doctorate,D
,  ,,   ,Master's,D
7908, ROHM AND HAAS ELECTRONIC MATERIAL ,D," 112,312 ",Bachelor's,D
,  ,,   ,Doctorate,D
,  ,,   ,Master's,D
4470, MID SUSSEX MED CTR INC ,D," 304,667 ",Professional Degree,D
5908, ASHOKA ,D," 52,629 ",Bachelor's,D
,  ,,   ,Master's,D
0034, GKN DRIVELINE NEWTON LLC ,D," 73,194 ",Master's,D
0841, ACS INTERNATIONAL RESOURCES INC ,D," 85,635 ",Bachelor's,D
,  ,,   ,Master's,D
0007, SUPPLY CHAIN CONSULTANTS INC DBA ,D," 69,650 ",Bachelor's,D
,  ,,   ,Master's,D
0842, TAKE TWO INTERACTIVE SOFTWARE INC ,D," 86,445 ",Bachelor's,D
,  ,,   ,Master's,D
7687, PTS AMERICA INC ,D," 57,400 ",Bachelor's,D
,  ,,   ,Master's,D
0223, FELSS ROTAFORM LLC ,D," 77,333 ",Bachelor's,D
6184, SKYHOOK WIRELESS INC ,D," 121,371 ",Bachelor's,D
,  ,,   ,Master's,D
8567, MUDIAM INC ,D," 73,000 ",Bachelor's,D
,  ,,   ,Master's,D
3210, CIGNUS SOLUTIONS LLC ,D," 63,333 ",Master's,D
3495, CODEOBJECTS INC ,D," 128,450 ",Bachelor's,D
,  ,,   ,Master's,D
9907, REPUTATION COM ,D," 141,667 ",Master's,D
6811, GENOCEA BIOSCIENCES INC ,D," 85,000 ",Master's,D
4763, MOVIUS INTERACTIVE CORPORATION ,D," 114,300 ",Bachelor's,D
,  ,,   ,Master's,D
7986, VENLAW PA ,D," 85,000 ",Bachelor's,D
2464, MEDIAMORPH INC ,D," 115,000 ",Bachelor's,D
,  ,,   ,Master's,D
8139, VERATECH SYSTEMS LLC ,D," 66,667 ",Master's,D
0279, CAESAR RODNEY SCHOOL DISTRICT ,D," 48,042 ",Bachelor's,D
,  ,,   ,Master's,D
8290, MCCORMICK & COMPANY INC ,D," 96,667 ",Bachelor's,D
,  ,,   ,Master's,D
5374, UNIV OF MARYLAND CHARLES REGIONAL ,D," 35,464 ",Bachelor's,D
,  ,,   ,Master's,D
7250, VENABLE LLP ,D," 186,667 ",Master's,D
,  ,,   ,Professional Degree,D
1623, LOYOLA UNIV MARYLAND ,D," 78,185 ",Associate Degree,D
,  ,,   ,Doctorate,D
,  ,,   ,Master's,D
3036, GEN CONFERENCE OF SEVENTH DAY ADV ,D," 42,406 ",Bachelor's,D
,  ,,   ,Master's,D
5419, CHESAPEAKE CONFERENCE OF SEVENTH ,D," 44,119 ",Bachelor's,D
,  ,,   ,Master's,D
9518, FINNEGAN ,D," 148,333 ",Doctorate,D
,  ,,   ,Professional Degree,D
7186, LA FONDATION DU LYCEE FRANCAIS ,D," 67,663 ",Bachelor's,D
,  ,,   ,Doctorate,D
9206, PGA TOUR INC ,D," 48,333 ",Bachelor's,D
,  ,,   ,Master's,D
7357, BLACK & DECKER US INC ,D," 78,337 ",Master's,D
0780, C C JOHNSON & MALHOTRA PC ,D," 80,922 ",Doctorate,D
,  ,,   ,Master's,D
2115, AUTONEUM NORTH AMERICA INC ,D," 81,467 ",Master's,D
6226, MID ATLANTIC PERMANENTE MED GR PC ,D," 98,365 ",Bachelor's,D
,  ,,   ,Master's,D
5092, INFORMATION MANAGEMENT CONSULTANT ,D," 116,475 ",Bachelor's,D
,  ,,   ,Master's,D
1901, SENTARA HEALTHCARE ,D," 84,635 ",Doctorate,D
,  ,,   ,Master's,D
9729, DIMENSIONS HEALTH CORP ,D," 56,106 ",Professional Degree,D
4593, DANIEL CONSULTANTS INC ,D," 65,691 ",Master's,D
8877, AUTOMATED PRECISION INC ,D," 77,518 ",Doctorate,D
,  ,,   ,Master's,D
7172, PALO VERDE UNIFIED SCH DIST ,D," 81,911 ",Bachelor's,D
4386, KCI TECHNOLOGIES INC ,D," 69,472 ",Master's,D
1723, CIBT ,D," 101,703 ",Bachelor's,D
,  ,,   ,Master's,D
8546, CSSI INC ,D," 93,390 ",Bachelor's,D
,  ,,   ,Master's,D
4156, SYMBIOSYS INC ,D," 99,409 ",Bachelor's,D
,  ,,   ,Master's,D
,  ,,   ,Some College Credits,D
5829, ENDO PHARMACEUTICALS INC ,D," 128,667 ",Bachelor's,D
,  ,,   ,Doctorate,D
,  ,,   ,Master's,D
6737, CYRIX DATA SYSTEMS LLC ,D," 52,867 ",Bachelor's,D
,  ,,   ,Master's,D
4331, JINFONET SOFTWARE INC ,D," 62,500 ",Bachelor's,D
,  ,,   ,Some College Credits,D
7224, INTEPLAST GROUP LIMITED ,D," 48,244 ",Master's,D
8627, RESCON INC ,D," 108,333 ",Bachelor's,D
,  ,,   ,Master's,D
6408, HORD COPLAN MACHT INC ,D," 61,807 ",Master's,D
5827, CHEMONICS INTERNATIONAL INC ,D," 115,659 ",Master's,D
2399, VECNA TECHNOLOGIES INC ,D," 81,667 ",Bachelor's,D
,  ,,   ,Master's,D
2145, STUDENTUNIVERSE COM INC ,D," 67,333 ",Bachelor's,D
,  ,,   ,Master's,D
5642, MEDISOLV INC ,D," 70,687 ",Master's,D
6762, CURASPAN HEALTH GROUP INC ,D," 106,000 ",Bachelor's,D
,  ,,   ,Master's,D
3096, BATES WHITE LLC ,D," 140,000 ",Doctorate,D
,  ,,   ,Master's,D
0398, DIGITAL INFUZION INC ,D," 80,862 ",Master's,D
3055, CAPITAL CONSULTANCY SERVICES INC ,D," 84,433 ",Bachelor's,D
,  ,,   ,Master's,D
0700, MEDICAL FACULTY ASSOCIATES INC ,D," 194,000 ",Professional Degree,D
3823, MAXIL TECH SOLUTIONS INC ,D," 100,734 ",Bachelor's,D
,  ,,   ,Master's,D
7117, AGNI CONSULTING INC ,D," 86,474 ",Bachelor's,D
,  ,,   ,Master's,D
7782, NATIXIS NEW YORK BRANCH ,D," 123,333 ",Master's,D
3942, BRIDGELINE DIGITAL INC ,D," 106,500 ",Bachelor's,D
,  ,,   ,Master's,D
5248, ASTOR & SANDERS CORPORATION ,D," 92,916 ",Bachelor's,D
,  ,,   ,Master's,D
0494, SAP GLOBAL MARKETING INC ,D," 138,975 ",Bachelor's,D
,  ,,   ,Master's,D
3877, IMPAQ INTERNATIONAL LLC ,D," 78,000 ",Master's,D
9123, IL CREATION OF MARYLAND INC ,D," 42,536 ",Bachelor's,D
,  ,,   ,Professional Degree,D
4024, FLAGSHIP REHABILITATION INC ,D," 68,640 ",Master's,D
4516, VISION TECHNOLOGY SERVICES LLC ,D," 112,597 ",Bachelor's,D
,  ,,   ,Master's,D
8686, MICRO FOCUS US INC ,D," 87,679 ",Master's,D
1955, CALANCE CORP ,D," 104,813 ",Bachelor's,D
,  ,,   ,Master's,D
8940, PREFERRED THERAPY SOLUTIONS ,D," 78,667 ",Bachelor's,D
,  ,,   ,Doctorate,D
,  ,,   ,Master's,D
6145, NATIONAL RURAL ELECTRIC COOPERATI ,D," 127,000 ",Bachelor's,D
,  ,,   ,Master's,D
8411, COVINGTON & BURLING LLP ,D," 171,667 ",Professional Degree,D
6605, AMERICAN RED CROSS NATIONAL HEADQ ,D," 66,838 ",Bachelor's,D
,  ,,   ,Master's,D
8605, ARNOLD & PORTER LLP ,D," 128,333 ",Master's,D
,  ,,   ,Professional Degree,D
7888, DOVER CORP ,D," 103,657 ",Master's,D
8825, VIRGINIA ELECTRIC & POWER CO ,D," 83,833 ",Bachelor's,D
,  ,,   ,Master's,D
5941, RANDOLPH COLLEGE ,D," 57,042 ",Doctorate,D
,  ,,   ,Master's,D
0889, INOVA HEALTH SYSTEM ,D," 68,932 ",Professional Degree,D
8752, THE CHRISTIAN BROADCASTING NETWOR ,D," 49,496 ",Doctorate,D
,  ,,   ,Master's,D
5926, VIRGINIA TRANSFORMER CORP ,D," 69,072 ",Bachelor's,D
,  ,,   ,Master's,D
7916, KEMA INC ,D," 65,437 ",Master's,D
2771, SUNRISE SENIOR LIVING MGT INC ,D," 110,385 ",Bachelor's,D
,  ,,   ,Master's,D
4322, GEN DYNAMICS INFO TECHNOLOGY INC ,D," 124,738 ",Bachelor's,D
,  ,,   ,Master's,D
1771, FERGUSON ENTERPRISE INC ,D," 82,498 ",Master's,D
3332, GE INTELLIGENT PLATFORMS INC ,D," 103,333 ",Bachelor's,D
,  ,,   ,Master's,D
9575, DOVEL TECHNOLOGIES ,D," 106,347 ",Master's,D
0002, POWER DISTRIBUTION INC ,D," 127,543 ",Doctorate,D
,  ,,   ,Master's,D
6465, AREVA INC ,D," 94,269 ",Bachelor's,D
,  ,,   ,Doctorate,D
,  ,,   ,Master's,D
9211, ROSETTA STONE LTD ,D," 80,632 ",Master's,D
7664, MERIDIUM INC ,D," 101,537 ",Bachelor's,D
,  ,,   ,Master's,D
3763, ADVANCED SOFTWARE SYSTEMS INC ,D," 97,333 ",Bachelor's,D
7314, ECPI UNIVERSITY LLC ,D," 65,841 ",Doctorate,D
,  ,,   ,Master's,D
7406, TEOCO CORPORATION ,D," 81,626 ",Bachelor's,D
,  ,,   ,Master's,D
6944, POWERSOLV INC ,D," 77,938 ",Bachelor's,D
,  ,,   ,Master's,D
9539, EVIDERA INC FORMERLY UBC HEALTH C ,D," 89,594 ",Doctorate,D
,  ,,   ,Master's,D
8412, PYRAMID SYSTEMS INC ,D," 69,558 ",Master's,D
6717, TELARIX INC ,D," 93,000 ",Bachelor's,D
,  ,,   ,Master's,D
3700, CAPTECH VENTURES INC ,D," 115,000 ",Master's,D
3973, NAVIENT SOLUTIONS INC ,D," 106,996 ",Bachelor's,D
,  ,,   ,Master's,D
8092, SHAMIN HOTELS ,D," 65,184 ",Bachelor's,D
,  ,,   ,Master's,D
8251, HAUPTMAN HAM LLP ,D," 79,677 ",Doctorate,D
,  ,,   ,Master's,D
,  ,,   ,Professional Degree,D
2523, MATERIALS SOFTWARE SYSTEMS INC ,D," 62,667 ",Master's,D
0847, SOFTEON INC ,D," 96,667 ",Master's,D
3589, INNOVATIVE NETWORK SOLUTIONS ,D," 77,000 ",Bachelor's,D
,  ,,   ,Master's,D
8108, MINDSHIFT TECHNOLOGIES INC ,D," 121,367 ",Bachelor's,D
,  ,,   ,Master's,D
1699, GENEX SYSTEMS ,D," 66,363 ",Master's,D
,  ,,   ,Professional Degree,D
0712, EASTRAY TECHNOLOGIES INC ,D," 65,000 ",Master's,D
7244, HYLEE INC ,D," 62,667 ",Bachelor's,D
0672, DLC SOLUTIONS LLC ,D," 75,709 ",Bachelor's,D
2984, GOODLUCK USA INC ,D," 41,029 ",Bachelor's,D
,  ,,   ,Master's,D
5682, BLUE CANOPY GROUP LLC ,D," 104,000 ",Bachelor's,D
,  ,,   ,Master's,D
7037, INFICARE INC D/B/A INFICARE TECHS ,D," 61,817 ",Bachelor's,D
,  ,,   ,Master's,D
7328, MYRIAD CONSULTING INC ,D," 80,344 ",Bachelor's,D
,  ,,   ,Master's,D
8327, COMMUNICATION EXPERTS INC ,D," 116,667 ",Bachelor's,D
,  ,,   ,Master's,D
0171, VICTORIAS SECRET STORES LLC ,D," 84,667 ",Bachelor's,D
0654, CONVEXITY CAPITAL MANAGEMENT LP ,D," 126,721 ",Bachelor's,D
,  ,,   ,Master's,D
1624, SPORTSYLVANIA COUNTY PUBLIC SCHS ,D," 54,731 ",Bachelor's,D
,  ,,   ,Doctorate,D
1757, UNIV OF MARY WASHINGTON ,D," 49,952 ",Bachelor's,D
,  ,,   ,Doctorate,D
,  ,,   ,Master's,D
1788, LONGWOOD UNIVERSITY ,D," 68,033 ",Doctorate,D
,  ,,   ,Master's,D
1803, VIRGINIA MILITARY INST ,D," 52,333 ",Doctorate,D
,  ,,   ,Master's,D
1811, VIRGINIA STATE UNIV ,D," 64,000 ",Doctorate,D
7057, WHEELING HOSP INC ,D," 416,667 ",Professional Degree,D
5724, UNITED HEALTH CTR INC ,D," 450,000 ",Doctorate,D
,  ,,   ,Professional Degree,D
3361, MARSHALL UNIV RESEARCH CORP ,D," 48,687 ",Doctorate,D
3204, NGK SPARK PLUGS U S A INC ,D," 85,333 ",Bachelor's,D
,  ,,   ,Master's,D
5078, BAILEY & GLASSER LLP ,D," 104,078 ",Master's,D
,  ,,   ,Professional Degree,D
7999, SEPAX TECHNOLOGIES INC ,D," 49,322 ",Master's,D
9030, NW BENTON COUNTY PHYSICIAN SVCS L ,D," 276,667 ",Professional Degree,D
9492, VISIA LLC D/B/A TECHNICA SOLUTION ,D," 89,400 ",Bachelor's,D
,  ,,   ,Master's,D
3519, POTION DESIGN LLC ,D," 104,917 ",Master's,D
2309, HIGH POINT REGIONAL HEALTH ,D," 150,946 ",Bachelor's,D
,  ,,   ,Professional Degree,D
1714, OLD DOMINION FREIGHT LINE INC ,D," 92,955 ",Bachelor's,D
,  ,,   ,Master's,D
7278, SPORTS ENDEAVORS INC ,D," 118,333 ",Bachelor's,D
,  ,,   ,Master's,D
8400, VALMET INC ,D," 86,684 ",Bachelor's,D
,  ,,   ,Master's,D
9260, REX HOSPITAL INC ,D," 160,000 ",Professional Degree,D
9963, THE BURGISS GROUP ,D," 77,333 ",Master's,D
7937, TECHNICON DESIGN CORP ,D," 100,673 ",Bachelor's,D
,  ,,   ,Doctorate,D
5218, Q SQUARED SOLUTIONS LLC ,D," 96,196 ",Bachelor's,D
,  ,,   ,Doctorate,D
,  ,,   ,Master's,D
2003, MSYS INC ,D," 65,015 ",Master's,D
9377, HERITAGE HEALTHCARE LLC ,D," 90,480 ",Bachelor's,D
,  ,,   ,Doctorate,D
,  ,,   ,Master's,D
4366, WIREPATH HOME SYS LLC DBA SNAPAV ,D," 109,079 ",Bachelor's,D
,  ,,   ,Master's,D
8745, SONY MOBILE COMMUNICATIONS INC ,D," 110,497 ",Bachelor's,D
,  ,,   ,Master's,D
6347, AURIGO SOFTWARE TECHNOLOGIES INC ,D," 91,667 ",Bachelor's,D
4692, DRAEGER MEDICAL SYSTEMS INC ,D," 82,490 ",Master's,D
5752, ONYX INFOSOFT INC ,D," 72,500 ",Bachelor's,D
,  ,,   ,Master's,D
9061, SIGNATURE HEALTHCARE SOLUTIONS S ,D," 246,667 ",Professional Degree,D
4110, LOGIC WIRELESS INC ,D," 107,200 ",Bachelor's,D
